Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0400000US51,51,Virginia,7504174,5249466,1556867,21820,480942,5792,189287
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0400000US51,51,Virginia,8193422,5825551,1609629,43356,489236,8944,216706
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0400000US51,51,Virginia,344374,286495,27606,10217,4383,1393,14280
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0400000US51,51,Virginia,3858692,2661345,819500,10956,263975,3089,99827
est72013,"July 1, 2013",female,Female,tothisp,Total,0400000US51,51,Virginia,4203066,2947840,847106,21173,268358,4482,114107
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0400000US51,51,Virginia,371306,311075,27409,12121,4420,1842,14439
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0400000US51,51,Virginia,3695973,2598542,750734,11304,235832,2965,96596
est72013,"July 1, 2013",male,Male,tothisp,Total,0400000US51,51,Virginia,4067279,2909617,778143,23425,240252,4807,111035
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0400000US51,51,Virginia,715680,597570,55015,22338,8803,3235,28719
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0400000US51,51,Virginia,7554665,5259887,1570234,22260,499807,6054,196423
